CustomerID,FullName
"CUST-1001","Noah Williams"
"",""
"CUST-1002","Noah Brown"
"CUST-1003","Emma Brown"
"CUST-1005",""
"CUST-1006","Olivia Smith"
"#N/A","Noah Williams"
"CUST-1007","Noah Williams"
" CUST-1009 ","Oliver Brown"
"CUST-1009","Oliver Brown"
"CUST-1011"," Oliver Johnson "
"CUST-1012","Emma Williams"
"","Olivia Johnson"
"CUST-1014","Emma Brown"
"CUST-1015",""
"CUST-1016","Oliver Smith"
"","Noah Smith"
"CUST-1018",""
"CUST-1019","Emma Williams"
"CUST-1020","Ava Smith"
"CUST-1021","Emma Brown"
"CUST-1021","Emma Brown"
"CUST-1023","Oliver Smith"
"CUST-1024","Noah Johnson"
"CUST-1024","Noah Johnson"
"CUST-1026","#N/A"
" CUST-1027 ","Olivia Williams"
"CUST-1028","Emma Brown"
"CUST-1029","Olivia Williams"
" CUST-1030 ","Emma Smith"
"CUST-1031","Liam Smith"
" CUST-1032 ","Emma Williams"
" CUST-1033 ","Oliver Johnson"
"CUST-1034","Noah Smith"
"CUST-1035","#N/A"
"CUST-1036","Olivia Smith"
"#N/A","#N/A"
"CUST-1038"," Olivia Johnson "
" CUST-1039 ","Noah Williams"
"CUST-1040","Oliver Williams"
"CUST-1041","Emma Brown"
"CUST-1042","Liam Smith"
"CUST-1043","Noah Brown"
"CUST-1044","Noah Brown"
"CUST-1044","Noah Brown"
"CUST-1046","Emma Brown"
"CUST-1047","Olivia Johnson"
"CUST-1048"," Ava Williams "
" CUST-1049 "," Liam Williams "
" CUST-1050 ","#N/A"
"CUST-1051","Liam Williams"
"CUST-1051","Liam Williams"
"CUST-1052","Emma Williams"
"CUST-1054"," Olivia Johnson "
"CUST-1054","Olivia Johnson"
"CUST-1055","Emma Williams"
"",""
"CUST-1058",""
"CUST-1059","Liam Johnson"
"CUST-1060",""
"#N/A",""
"CUST-1062","Liam Smith"
"CUST-1063","Liam Williams"
" CUST-1064 ","Oliver Smith"
"CUST-1065","Liam Brown"
"CUST-1066","Emma Brown"
"","Ava Smith"
"CUST-1068","Oliver Williams"
"CUST-1069"," Emma Johnson "
"CUST-1070",""
"CUST-1071","Ava Brown"
" CUST-1072 ",""
"","Noah Brown"
"CUST-1074"," Ava Johnson "
"CUST-1075","Liam Johnson"
"CUST-1076",""
"CUST-1077","Olivia Johnson"
"","Ava Johnson"
"","Oliver Brown"
"CUST-1080","Ava Smith"
"CUST-1081","Olivia Smith"
"CUST-1082","Ava Johnson"
" CUST-1083 ","Noah Johnson"
"CUST-1084","Oliver Johnson"
" CUST-1085 ","Ava Williams"
"CUST-1085","Ava Williams"
" CUST-1087 "," Liam Brown "
"CUST-1088","Ava Brown"
"CUST-1088","Ava Brown"
"CUST-1090","Ava Smith"
"CUST-1091","Oliver Smith"
"CUST-1092","Ava Johnson"
"CUST-1093","#N/A"
"CUST-1093","Noah Johnson"
"CUST-1095","Emma Brown"
"CUST-1095","Emma Brown"
"CUST-1096","Ava Williams"
"",""
"CUST-1099","Emma Williams"
"CUST-1100","Oliver Brown"
"CUST-1101","Liam Brown"
"CUST-1101","Liam Brown"
"CUST-1103","Olivia Williams"
" CUST-1104 ","Oliver Brown"
"CUST-1105"," Liam Smith "
"","Emma Brown"
"CUST-1107","Liam Brown"
"CUST-1108","Liam Brown"
"CUST-1109","Oliver Brown"
"CUST-1109","Oliver Brown"
"CUST-1111","Liam Johnson"
"CUST-1112","Emma Johnson"
"CUST-1113","Noah Brown"
"CUST-1114","Emma Johnson"
" CUST-1115 ",""
"","Olivia Smith"
"",""
"CUST-1118","Liam Smith"
"CUST-1119",""
" CUST-1120 "," Olivia Brown "
"CUST-1121","Liam Williams"
" CUST-1122 ","Emma Williams"
"CUST-1123","Emma Williams"
"CUST-1124",""
"CUST-1125","Noah Johnson"
"CUST-1125","Noah Johnson"
"CUST-1127","Ava Williams"
"","Emma Williams"
"CUST-1129","Ava Brown"
"CUST-1130","Noah Williams"
"CUST-1131","Noah Williams"
"CUST-1132","Ava Smith"
"CUST-1133","Liam Smith"
"","Emma Smith"
"CUST-1135"," Liam Williams "
"CUST-1135","Liam Williams"
"CUST-1136","Emma Smith"
"CUST-1138","Liam Williams"
"CUST-1139","Olivia Smith"
"CUST-1139","Olivia Smith"
"CUST-1141","Oliver Smith"
"CUST-1141","Oliver Smith"
"CUST-1143","Olivia Johnson"
""," Liam Brown "
" CUST-1145 "," Liam Brown "
" CUST-1146 ","Ava Smith"
"CUST-1147","Oliver Williams"
" CUST-1148 ","Olivia Smith"
"CUST-1149","Olivia Johnson"
"CUST-1150","Olivia Johnson"
" CUST-1151 ",""
"CUST-1152","Olivia Williams"
"CUST-1152","Olivia Williams"
"CUST-1154",""
" CUST-1155 ","Ava Williams"
"CUST-1156","Olivia Brown"
"CUST-1157","Emma Smith"
"CUST-1157","Emma Smith"
"CUST-1159","Ava Brown"
"CUST-1160","Ava Johnson"
